timestamp,source,sequence,latitude,longitude,altitude_from_sealevel,relative_altitude,voltage,remaining_percent,north_m_s,east_m_s,down_m_s,temperature_degc,roll_deg,pitch_deg,yaw_deg,angular_velocity_forward_rad_s,angular_velocity_right_rad_s,angular_velocity_down_rad_s,linear_acceleration_forward_m_s2,linear_acceleration_right_m_s2,linear_acceleration_down_m_s2,magnetic_field_forward_gauss,magnetic_field_right_gauss,magnetic_field_down_gauss,system_time,unix_time,speed_m_s,direction_deg
2025-07-16T10:20:33.842Z,position,2732,47.8048225,12.9967875,638.7900390625,210.38900756835938,12.398000717163086,-1.0,4.639999866485596,3.4499998092651367,-3.919999837875366,,-33.136051177978516,7.960010528564453,-87.90406036376953,,,,,,,,,,,,,
2025-07-16T10:20:34.062Z,position,2733,47.8048303,12.9968001,639.4400024414062,211.04000854492188,12.304000854492188,-1.0,3.8899998664855957,3.6999998092651367,-3.0299999713897705,,-34.551116943359375,6.67737340927124,-88.33551025390625,,,,,,,,,,,,,
2025-07-16T10:20:34.293Z,position,2734,47.8048369,12.9968136,639.8900146484375,211.489013671875,12.190000534057617,-1.0,3.2300000190734863,3.93999981880188,-2.240000009536743,,-33.83164596557617,5.167503833770752,-90.37358093261719,,,,,,,,,,,,,
2025-07-16T10:20:34.565Z,position,2735,47.8048417,12.9968278,640.1600341796875,211.76901245117188,12.529000282287598,-1.0,2.559999942779541,4.130000114440918,-1.3799999952316284,,-26.615812301635742,2.2209043502807617,-93.3233871459961,,,,,,,,,,,,,
2025-07-16T10:20:34.795Z,position,2736,47.804844599999996,12.9968407,640.3400268554688,211.9390106201172,12.351000785827637,-1.0,1.7400000095367432,4.21999979019165,-0.8999999761581421,,-20.96678352355957,-1.5672575235366821,-96.84679412841797,,,,,,,,,,,,,
2025-07-16T10:20:35.042Z,position,2737,47.8048467,12.9968524,640.4300537109375,212.03001403808594,12.17300033569336,-1.0,1.1899999380111694,3.8899998664855957,-0.5699999928474426,,-18.895572662353516,-4.5522565841674805,-101.83714294433594,,,,,,,,,,,,,
2025-07-16T10:20:35.317Z,position,2738,47.8048467,12.9968604,640.4000244140625,212.00001525878906,11.907000541687012,-1.0,0.5099999904632568,2.93999981880188,-0.11999999731779099,,-17.617097854614258,-6.590193748474121,-106.61836242675781,,,,,,,,,,,,,
2025-07-16T10:20:35.523Z,position,2739,47.804843999999996,12.9968642,640.3200073242188,211.91900634765625,11.90000057220459,-1.0,-0.5899999737739563,1.7300000190734863,0.25,,-16.512548446655273,-7.107264518737793,-109.49991607666016,,,,,,,,,,,,,
2025-07-16T10:20:35.822Z,position,2740,47.8048378,12.9968653,640.1900024414062,211.79000854492188,11.90000057220459,-1.0,-1.9199999570846558,0.7699999809265137,0.429999977350235,,-15.415492057800293,-6.721498966217041,-110.7021255493164,,,,,,,,,,,,,
2025-07-16T10:20:36.036Z,position,2741,47.8048286,12.9968633,640.0400390625,211.63900756835938,11.953001022338867,-1.0,-3.3399999141693115,-0.1599999964237213,0.5399999618530273,,-14.307427406311035,-5.801147937774658,-110.0919418334961,,,,,,,,,,,,,
2025-07-16T10:20:36.331Z,position,2742,47.8048181,12.9968601,639.8600463867188,211.45901489257812,12.131000518798828,-1.0,-4.539999961853027,-0.8399999737739563,0.6699999570846558,,-12.825479507446289,-4.085164546966553,-109.06245422363281,,,,,,,,,,,,,
2025-07-16T10:20:36.530Z,position,2743,47.8048047,12.996856,639.7400512695312,211.3400115966797,12.309000968933105,-1.0,-5.359999656677246,-1.149999976158142,0.75,,-11.27623462677002,-2.033740520477295,-108.34197998046875,,,,,,,,,,,,,
