timestamp_iso,wind_speed_m_s,wind_speed_kt,wind_dir_deg,quality,status,north_m_s,east_m_s,yaw_deg,airspeed_m_s,airspeed_source,latitude,longitude,altitude_from_sealevel
2025-07-18T10:51:26.827+00:00,0.945,1.837,17.959,1.00,ok,30.829999923706055,7.5,13.555643081665039,30.807199478149414,sensor,19.1930935,72.8876097,618.7300415039062
2025-07-18T10:51:27.095+00:00,0.941,1.829,17.941,1.00,ok,30.779998779296875,7.480000019073486,13.542023658752441,30.75136947631836,sensor,19.1931662,72.8876284,618.760009765625
2025-07-18T10:51:27.330+00:00,0.940,1.827,17.915,1.00,ok,30.719999313354492,7.460000038146973,13.53080940246582,30.691431045532227,sensor,19.1932305,72.8876449,618.780029296875
2025-07-18T10:51:27.576+00:00,0.936,1.820,17.907,1.00,ok,30.670000076293945,7.440000057220459,13.520537376403809,30.638750076293945,sensor,19.1933023,72.8876633,618.800048828125
2025-07-18T10:51:27.844+00:00,0.935,1.818,17.856,1.00,ok,30.619998931884766,7.419999599456787,13.51252269744873,30.584314346313477,sensor,19.1933734,72.8876817,618.8200073242188
2025-07-18T10:51:28.081+00:00,0.933,1.814,17.805,1.00,ok,30.559999465942383,7.399999618530273,13.506085395812988,30.52450180053711,sensor,19.1934395,72.8876985,618.8300170898438
2025-07-18T10:51:28.338+00:00,0.929,1.807,17.704,1.00,ok,30.510000228881836,7.389999866485596,13.50045108795166,30.47460174560547,sensor,19.193507,72.8877159,618.8400268554688
2025-07-18T10:51:28.583+00:00,0.927,1.802,17.601,1.00,ok,30.459999084472656,7.369999885559082,13.495403289794922,30.425371170043945,sensor,19.1935772,72.8877339,618.8500366210938
2025-07-18T10:51:28.824+00:00,0.926,1.801,17.584,1.00,ok,30.40999984741211,7.359999656677246,13.49118423461914,30.3708553314209,sensor,19.1936586,72.8877481,616.8500366210938
2025-07-18T10:51:29.088+00:00,0.924,1.796,17.425,1.00,ok,30.369998931884766,7.339999675750732,13.490837097167969,30.329118728637695,sensor,19.1937308,72.8877668,616.8500366210938
2025-07-18T10:51:29.323+00:00,0.923,1.794,17.378,1.00,ok,30.31999969482422,7.329999923706055,13.493897438049316,30.282299041748047,sensor,19.1937949,72.8877832,616.8600463867188
2025-07-18T10:51:29.575+00:00,0.921,1.789,17.311,1.00,ok,30.279998779296875,7.329999923706055,13.503024101257324,30.248186111450195,sensor,19.1938645,72.887801,616.8700561523438
2025-07-18T10:51:29.835+00:00,0.918,1.785,17.163,1.00,ok,30.239999771118164,7.319999694824219,13.525361061096191,30.204303741455078,sensor,19.193935,72.8878191,616.8800048828125
2025-07-18T10:51:30.074+00:00,0.917,1.783,17.124,1.00,ok,30.189998626708984,7.329999923706055,13.556473731994629,30.161205291748047,sensor,19.1939983,72.8878354,616.8900146484375
2025-07-18T10:51:30.336+00:00,0.915,1.778,16.956,1.00,ok,30.149999618530273,7.329999923706055,13.595216751098633,30.127107620239258,sensor,19.1940684,72.8878534,616.9000244140625
2025-07-18T10:51:30.599+00:00,0.913,1.775,16.875,1.00,ok,30.10999870300293,7.349999904632568,13.634588241577148,30.091196060180664,sensor,19.1941384,72.8878716,616.9000244140625
2025-07-18T10:51:30.852+00:00,0.912,1.773,16.829,1.00,ok,30.06999969482422,7.359999656677246,13.665011405944824,30.050783157348633,sensor,19.1942014,72.887888,616.9000244140625
2025-07-18T10:51:31.082+00:00,0.911,1.770,16.754,1.00,ok,30.029998779296875,7.359999656677246,13.697039604187012,30.015613555908203,sensor,19.1942716,72.8879062,616.9100341796875
2025-07-18T10:51:31.354+00:00,0.909,1.766,16.687,1.00,ok,29.979999542236328,7.369999885559082,13.726605415344238,29.97615623474121,sensor,19.1943403,72.887924,616.9000244140625
2025-07-18T10:51:31.580+00:00,0.908,1.766,16.697,1.00,ok,29.959999084472656,7.37999963760376,13.748190879821777,29.95178985595703,sensor,19.1944032,72.8879405,616.9000244140625
2025-07-18T10:51:31.819+00:00,0.907,1.764,16.667,1.00,ok,29.92999839782715,7.37999963760376,13.763647079467773,29.92466926574707,sensor,19.1944715,72.8879584,616.8900146484375
2025-07-18T10:51:32.084+00:00,0.906,1.761,16.636,1.00,ok,29.899999618530273,7.37999963760376,13.771032333374023,29.9010009765625,sensor,19.19454,72.8879762,616.8800048828125
2025-07-18T10:51:32.681+00:00,0.907,1.764,16.643,1.00,ok,29.869998931884766,7.37999963760376,13.764898300170898,29.827539443969727,sensor,19.194699,72.8880179,616.8500366210938
2025-07-18T10:51:33.166+00:00,0.911,1.770,16.809,1.00,ok,29.81999969482422,7.359999656677246,13.734722137451172,29.774341583251953,sensor,19.1948303,72.8880521,616.8300170898438
2025-07-18T10:51:33.672+00:00,0.914,1.777,17.091,1.00,ok,29.76999855041504,7.329999923706055,13.696117401123047,29.734052658081055,sensor,19.1949668,72.8880877,616.800048828125
2025-07-18T10:51:34.160+00:00,0.919,1.786,17.315,1.00,ok,29.739999771118164,7.299999713897705,13.670742988586426,29.689617156982422,sensor,19.195097,72.8881215,616.780029296875
